List Size,Time Taken (s),Peak Memory Usage (bytes)
10,8.500006515532732e-06,264500
10,8.500006515532732e-06,40814
10,8.000002708286047e-06,40806
10,5.099980626255274e-06,40798
10,5.199981387704611e-06,40790
10,4.799978341907263e-06,40782
10,6.500049494206905e-06,40774
10,4.599976819008589e-06,40758
10,4.499976057559252e-06,40750
10,4.600035026669502e-06,40742
10,4.500034265220165e-06,40734
10,4.599976819008589e-06,40726
10,1.2999982573091984e-05,40718
10,7.299997378140688e-06,40710
10,6.499991286545992e-06,40702
10,6.099988240748644e-06,40686
10,5.00003807246685e-06,40678
10,4.799978341907263e-06,40670
10,4.500034265220165e-06,40662
10,4.799978341907263e-06,40654
10,5.099980626255274e-06,40646
10,4.799978341907263e-06,40638
10,4.599976819008589e-06,40630
10,4.999979864805937e-06,40614
10,4.799978341907263e-06,40606
50,1.309998333454132e-05,40598
50,1.309998333454132e-05,40598
50,1.1899974197149277e-05,40598
50,1.309998333454132e-05,40598
50,1.2299977242946625e-05,40598
50,1.1700030881911516e-05,40598
50,1.1399970389902592e-05,40598
50,1.1399970389902592e-05,40598
50,1.1299969628453255e-05,40598
50,1.109996810555458e-05,40598
50,1.1700030881911516e-05,40598
50,1.1000025551766157e-05,40598
50,1.109996810555458e-05,40598
50,1.1299969628453255e-05,40598
50,1.1200027074664831e-05,40598
50,1.1699972674250603e-05,40598
50,1.160003012046218e-05,40598
50,1.1300027836114168e-05,40598
50,1.6400008462369442e-05,40598
50,1.3599987141788006e-05,40598
50,1.1700030881911516e-05,40598
50,1.179997343569994e-05,40598
50,1.1599971912801266e-05,40598
50,1.1599971912801266e-05,40598
50,1.1300027836114168e-05,40598
100,2.2899999748915434e-05,40598
100,2.1299987565726042e-05,40598
100,2.0799983758479357e-05,40598
100,2.110004425048828e-05,40598
100,2.099998528137803e-05,40598
100,2.0599982235580683e-05,40598
100,2.0600040443241596e-05,40598
100,2.0499981474131346e-05,40598
100,2.0199979189783335e-05,40598
100,2.099998528137803e-05,40598
100,2.0499981474131346e-05,40598
100,2.0499981474131346e-05,40598
100,2.039998071268201e-05,40598
100,2.0799983758479357e-05,40598
100,1.9799976143985987e-05,40598
100,1.969997538253665e-05,40598
100,2.0799983758479357e-05,40598
100,1.950003206729889e-05,40598
100,1.9900035113096237e-05,40598
100,1.9799976143985987e-05,40598
100,1.969997538253665e-05,40598
100,1.9799976143985987e-05,40598
100,1.9900035113096237e-05,40598
100,2.0000035874545574e-05,40598
100,1.9799976143985987e-05,40598
500,0.0001865000231191516,40598
500,0.00017389998538419604,40598
500,0.0001707999617792666,40598
500,0.00017200002912431955,40598
500,0.00017399998614564538,40598
500,0.00017070001922547817,40598
500,0.0001700000138953328,40598
500,0.0001689000055193901,40598
500,0.000166199984960258,40598
500,0.00016820000018924475,40598
500,0.00016729999333620071,40598
500,0.00017139996634796262,40598
500,0.00017219997243955731,40598
500,0.0001721000298857689,40598
500,0.00017179996939375997,40598
500,0.00016830000095069408,40598
500,0.00016920000780373812,40598
500,0.00017169996863231063,40598
500,0.00016679998952895403,40598
500,0.00016649998724460602,40598
500,0.00016820000018924475,40598
500,0.00017010001465678215,40598
500,0.00017219997243955731,40598
500,0.00016769999638199806,40598
500,0.0001667000469751656,40598
1000,0.00042150000808760524,40598
1000,0.0004211000050418079,40598
1000,0.0004220000118948519,40598
1000,0.00042100000428035855,40598
1000,0.0004227999597787857,40598
1000,0.00041550002060830593,40598
1000,0.0004178999806754291,40598
1000,0.00041660002898424864,40598
1000,0.00042370002483949065,40598
1000,0.0004175999783910811,40598
1000,0.00041859998600557446,40598
1000,0.0004175999783910811,40598
1000,0.0004189000464975834,40598
1000,0.0004200999974273145,40598
1000,0.00041939999209716916,40598
1000,0.00042240001494064927,40598
1000,0.00042429997120052576,40598
1000,0.0004186999867670238,40598
1000,0.0004199999966658652,40598
1000,0.00041989999590441585,40598
1000,0.00042289996054023504,40598
1000,0.00042310002027079463,40598
1000,0.0004192999913357198,40598
1000,0.0004237999673932791,40598
1000,0.0004180999821983278,40598
5000,0.0035547000006772578,53029
5000,0.002576200000476092,53029
5000,0.0026407999685034156,53029
5000,0.0026172000216320157,53029
5000,0.002549600030761212,53029
5000,0.002582100045401603,53029
5000,0.002559300046414137,53029
5000,0.002566700044553727,53029
5000,0.002547200012486428,53029
5000,0.0025423000333830714,53029
5000,0.0025659999810159206,53029
5000,0.002558399981353432,53029
5000,0.0025344000314362347,53029
5000,0.002633799973409623,53029
5000,0.002576800005044788,53029
5000,0.0045619000447914,53029
5000,0.0025650999741628766,53029
5000,0.002562900015618652,53029
5000,0.0025757999974302948,53029
5000,0.00257789995521307,53029
5000,0.0025478999596089125,53029
5000,0.0025690000038594007,53029
5000,0.0025792999658733606,53029
5000,0.0025648000300861895,53029
5000,0.0025690000038594007,53029
10000,0.005287499981932342,105925
10000,0.005329799954779446,105925
10000,0.0053872999851591885,105925
10000,0.005281599995214492,105925
10000,0.0052625000244006515,105925
10000,0.00527010002406314,105925
10000,0.005340499978046864,105925
10000,0.00533529999665916,105925
10000,0.005321500007994473,105925
10000,0.005341000040061772,105925
10000,0.005336600006558001,105925
10000,0.0054635999840684235,105925
10000,0.005385199969168752,105925
10000,0.0054570999927818775,105925
10000,0.005399600020609796,105925
10000,0.005312799999956042,105925
10000,0.005417599983047694,105925
10000,0.0053459000191651285,105925
10000,0.005401300033554435,105925
10000,0.005319499992765486,105925
10000,0.005331000022124499,105925
10000,0.005348299979232252,105925
10000,0.005362999974749982,105925
10000,0.005309599975589663,105925
10000,0.0053592000040225685,105925
50000,0.029993099975399673,538213
50000,0.030315599986352026,538213
50000,0.03005430003395304,538213
50000,0.03037890000268817,538213
50000,0.030030000023543835,538213
50000,0.030433899955824018,538213
50000,0.030086599988862872,538213
50000,0.03018200001679361,538213
50000,0.030258200014941394,538213
50000,0.030401800002437085,538213
50000,0.030178200046066195,538213
50000,0.030462900002021343,538213
50000,0.031994400022085756,538213
50000,0.031991399999242276,538213
50000,0.030362099991180003,538213
50000,0.029930699965916574,538213
50000,0.030007600027602166,538213
50000,0.030099600029643625,538213
50000,0.030107200029306114,538213
50000,0.03053729998646304,538213
50000,0.03012419998412952,538213
50000,0.03054760000668466,538213
50000,0.03059069998562336,538213
50000,0.031161699967924505,538213
50000,0.030125799996312708,538213
100000,0.06268400000408292,1084005
100000,0.06289579998701811,1084005
100000,0.06242899998323992,1084005
100000,0.062497899984009564,1084005
100000,0.06228669994743541,1084005
100000,0.06296949996612966,1084005
100000,0.0628044999903068,1084005
100000,0.06288719997974113,1084005
